Student ID,Name,Attendance,Grade,Place Guaranteed
34529152,Beautiful Gaur,64,23,
34506802,Busy Tapir,50,20,
34523804,Graceful Dragonfly,56,23,
34434526,Frail Vulture,56,15,
34653872,Gifted Chicken,90,22,
34413928,Tender Shark,76,16,
34521666,Determined Worm,82,19,
34126252,Horrible Bat,87,20,
34409432,Hilarious Kangaroo,80,15,
34171304,Odd Llama,21,14,
34372687,Distinct Human,68,16,Y
34654453,Stormy Chimpanzee,70,22,
34222049,Prickly Carabeef,26,19,
34215948,Motionless Pelican,90,20,
34120548,Faithful Kangaroo,96,19,
34520651,Excited Rabbit,55,20,
34331298,Cooperative Pheasant,26,18,
34616322,Alert Woodcock,71,21,
34578455,Victorious Deer,52,20,
34488103,Smoggy Flamingo,96,23,YES
34482717,Smoggy Fly,41,21,
