Student ID,Name,Email,Stay Opportunity,Rank,Degree Programme (Home),Department (Home),Duration,Subunit
34529152,Beautiful Gaur,b.gaur@lancaster.ac.uk,University of Toronto,1,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34529152,Beautiful Gaur,b.gaur@lancaster.ac.uk,University of Iowa,2,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34506802,Busy Tapir,b.tapir@lancaster.ac.uk,University of Toronto,1,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34506802,Busy Tapir,b.tapir@lancaster.ac.uk,University of Iowa,2,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34506802,Busy Tapir,b.tapir@lancaster.ac.uk,Queensland University of Technology (QUT),3,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34523804,Graceful Dragonfly,g.dragonfly@lancaster.ac.uk,VU Amsterdam,1,BSc Hons : Computer Science : Full Time,School of Computing and Communications,2,
34434526,Frail Vulture,f.vulture@lancaster.ac.uk,VU Amsterdam,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34434526,Frail Vulture,f.vulture@lancaster.ac.uk,University of Toronto,2,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34434526,Frail Vulture,f.vulture@lancaster.ac.uk,Queensland University of Technology (QUT),3,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34434526,Frail Vulture,f.vulture@lancaster.ac.uk,University of Iowa,4,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34653872,Gifted Chicken,g.chicken@lancaster.ac.uk,University of Iowa,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34653872,Gifted Chicken,g.chicken@lancaster.ac.uk,University of Toronto,2,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34413928,Tender Shark,t.shark@lancaster.ac.uk,University of Toronto,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34413928,Tender Shark,t.shark@lancaster.ac.uk,Queensland University of Technology (QUT),2,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34413928,Tender Shark,t.shark@lancaster.ac.uk,University of New South Wales,3,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
34521666,Determined Worm,d.worm@lancaster.ac.uk,University of Toronto,1,BSc Hons : Computer Science (Study Abroad) : Full Time,School of Computing and Communications,2,
